Company,Industry,Location,address,Phone,Tier,Activeness,Status,Account Manager,Business Developer
Cinclare Central Factory,Food & Beverage,Port Allen,"5133 South Florence Street, Port Allen, LA 70767, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Cintas,Commercial,Baton Rouge,"205 N 19th Street, Baton Rouge, LA 70806, US",,Tier 3,Non-Active,Not Qualified,"David Formby (FTS), David Formby (TPS)",
Cit-Con,Chemical / Refining / Metals,Sulphur,"Sulphur, LA, US",,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Citation Corporation,Chemical / Refining / Metals,Columbiana,"130 Industrial Park Road, Columbiana, AL 35051, US",205-669-5750,Tier 3,Non-Active,Not Qualified,,
Citgo Petroleum Corp,Chemical / Refining / Metals,Corpus Christi,"1802 Nueces Bay Blvd, Corpus Christi, TX 78407, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Citgo Petroleum Corp,Chemical / Refining / Metals,Lake Charles,"4401 Hwy 108, Westlake, LA 70669, US",,Tier 2	(Targeted),Active,Qualified,"Mark Maulden (FTS), Kenn Tregre (TPS)",John Shaw
Citgo Petroleum Corp,Chemical / Refining / Metals,Victoria,"Victoria, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
City of Alexandria-Electric Production,Power,Alexandria,"1011 North Third Street, Alexandria, LA 71301, US",318-473-1294,Tier 3,Non-Active,Not Qualified,David Formby (FTS),
City Of Austin,Power,Austin,"Sand Hill Energy Center 1101 Fallwell Lane, Del Valle, TX 78617, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
City of Baton Rouge,Industrial,Baton Rouge,"300 North Blvd, Baton Rouge, LA 70821, US",,Tier 4,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
City of Indenpendence,Power,Kansas City,,816-325-7514,Tier 2	(Targeted),Non-Active,Not Qualified,"(FTS),  (TPS)",
City of Lubbock,Power,Lubbock,"Holly Avenue Station, Lubbock, TX 79404, US",806-763-9381,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
City of Natchitoches,Power,Natchitoches,"1110 Power Plant Dr, Natchitoches, LA 71457, US",318-357-3880,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
City of Tallahassee,Power,Purdum Generating-St. Marks,"667 Port Leon Drive, St. Marks, FL 32355, US",,Tier 3,Non-Active,Not Qualified,,
City Public Service,Power,San Antonio,"15290 Streich road, San Antonio, TX 78112, US",210-,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
City Water Board,Power,San Antonio,"1001 E. Market, San Antonio, TX 78205, US",210-226-4415,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Clarksdale Public Utilites,Power,Clarksdale,"Clarksdale, MS, US",622-627-8493,Tier 3,Non-Active,Qualified,,
Clean Harbors Env. Srvcs,Chemical / Refining / Metals,"El Dorado, AR","309 American Circle Hwy 167, El Dorado, AR 71730, US",870-863-7173,Tier 3,Non-Active,Qualified,,
Clear Process Engineering,Commercial,Covington,"PO Box 1443, Covinton, LA 70434, US",,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),
Cleco Corporation,Power,Pineville,"2030 Donahue Ferry Road, Pineville, LA 71361-5000, US",,Tier 3,Non-Active,Not Qualified,,John Shaw
Cleco Power LLC,Power,Baldwin,"P.O. Box 300, Baldwin, LA 70514, US",,Tier 3,Non-Active,Qualified,Mark Maulden (FTS),John Shaw
Cleco Power LLC,Power,Lena,"275 Rodemacher Road, Lena, LA, US",,Tier 2	(Targeted),Non-Active,Qualified,"Mark Maulden (FTS), Mark Maulden (TPS)",John Shaw
Cleco Power LLC,Power,Mansfield,"963 Power Plant Road, Mansfield, LA 71052, US",,Tier 3,Non-Active,Qualified,Mark Maulden (FTS),John Shaw
Cleco Power LLC,Power,St. Landry,"P.O.Box 70 Street, St. Landry, LA, US",,Tier 3,Non-Active,Qualified,Mark Maulden (FTS),John Shaw
Clorox Company,Chemical / Refining / Metals,Pearl,"550 Gulf Line Road, Pearl, MS 39208, US",601-939-8555,Tier 3,Non-Active,Not Qualified,,
Coastal,Chemical / Refining / Metals,Aruba,,,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",Larry LeBlanc
Coastal,Chemical / Refining / Metals,Houston,"Nine Greenway Plaza, Houston, TX 77046, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Coastal,Chemical / Refining / Metals,Patterson,"Hwy 90 West, Patterson, LA 70392, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Coastal Paper Company,Wood Products,Wiggins,"1321 South Magnolia Drive, Wiggins, MS 39577, US",,Tier 3,Non-Active,Not Qualified,,
Coastal Refining and Marketing,Chemical / Refining / Metals,Mobile,"200 Viaduct Road, Mobile, AL 36633, US",251-456-2002,Tier 3,Non-Active,Qualified,,
Coastal Valve & Controls,Industrial,Port Allen,"1333 Commercial Drive, Port Allen, LA 70767, US",,Tier 1,Active,Not Qualified,Kenn Tregre (TPS),
Coca Cola Bottling Company,Food & Beverage,Mobile,"5300 Coca Cola Road, Mobile, AL 36619, US",251-666-2410,Tier 3,Non-Active,Not Qualified,,
Coen Company,Industrial,Woodland,"1510 Tanforan Avenue CA, Woodland, CA 95776, US",530-668-2142,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Coen White,Industrial,Houston,"14760 Memorial Drive, Suite 201, Houston, TX 77079, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Cogentrix,Power,Sterlington,"350 Harvey Gregg Road, Sterlington, LA 71820, US",,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Columbian Chemical,Chemical / Refining / Metals,Centerville,"370 Columbian Chemicals Lane North Bend Plant, , LA 70522, US",,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),
Columbian Chemical,Chemical / Refining / Metals,El Dorado,"713 Industrial Road, El Dorado, AR 71730, US",870-862-4205,Tier 3,Non-Active,Qualified,Mark Maulden (FTS),
Columbus Lumber Co,Wood Products,Brookhaven,"810 N. First St., Brookhaven, MS 39601, US",(601) 833-1990,Tier 3,Non-Active,Qualified,,
Columbus Mills Inc,Industrial,Phoenix City,"3018 Lakewood Drive, Phoenix City, AL 36867, US",,Tier 3,Non-Active,Not Qualified,,
Community Coffee,Food & Beverage,Harahan,"1201 Edwards Ave, Harahan, LA 70123, US",,Tier 1,Active,Not Qualified,"Barry Landry  (TPS), Kenn Tregre (FTS)",
Community Coffee,Food & Beverage,Port Allen,"1833 La Hwy 1 South, Port Allen, LA 70767, US",225-381-3956,Tier 1,Active,Qualified,"Kenn Tregre (FTS), Barry Landry  (TPS)",
Conagra Poultry Inc,Food & Beverage,Enterprise,"County Road 636, Enterprise, AL 36330, US",,Tier 3,Non-Active,Not Qualified,,
Conex International Corp,Industrial,Beaumont,,409-866-9888,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",Larry LeBlanc
Continental Carbon Company,Chemical / Refining / Metals,Phenix City,"1500 East State Docks Road, Phenix City, AL 36869-7680, US",,Tier 3,Non-Active,Not Qualified,,
Continental Refining Co.,Chemical / Refining / Metals,Somerset,"300 Refinery Road, Somerset, KY 42501, US",,Tier 3,Non-Active,Not Qualified,,
"Control & Instrument Services, Inc",Industrial,Slidell,"PO Box 2437, Slidell, LA 70459, US",,Tier 3,Non-Active,Not Qualified,,
Controlled Maintenance Inc,Industrial,Gonzales,"Gonzales, LA, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Cooper Lighting Co,Industrial,Vicksburg,"Vicksburg, MS, US",,Tier 3,Non-Active,Not Qualified,,
Cooper Power Systems,Industrial,Lumberton,"Lumberton, MS, US",,Tier 3,Non-Active,Not Qualified,,
Cooper Tire & Rubber Co,Chemical / Refining / Metals,Tupelo,"Tupelo, MS, US",,Tier 3,Non-Active,Not Qualified,,
Copes-Vulcan,Industrial,Atlanta,"4015 Presidential Pkwy GA, Atlanta, GA 30340, US",770-557-3621,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Cora Texas - Sugar Mill,Food & Beverage,White Castle,"32505 Texas Road, White Castle, LA 70788, US",,Tier 3,Non-Active,Qualified,"Mark Maulden (FTS), Keith  Harrison (TPS)",John Shaw
Cornerstone Chemical Company,Chemical / Refining / Metals,Westwego,"10800 River Road, Westwego, LA 70094, US",,Tier 1	(Targeted),Active,Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",John Shaw
Cortec Fluid Controls,Industrial,Port Allen,"2900 LA Hwy 1 North, Port Allen, LA 70767, US",,Tier 3,Non-Active,Not Qualified,,
Corus Mobile,Chemical / Refining / Metals,Mobile,"Mcduffie Island, Mobile, AL 36611, US",251-433-2900,Tier 3,Non-Active,Not Qualified,,
Covestro,Chemical / Refining / Metals,Baytown,"8500 West Bay Road, Baytown, TX 77523, US",,Tier 2	(Targeted),Non-Active,Qualified,"Nathan Gewin (FTS), Barry Landry  (TPS)",
Covington Casket Co,Wood Products,Andalusia,"140 N. Cotton Street, Andalusia, AL 36420, US",251-222-4365,Tier 3,Non-Active,Not Qualified,,
"CPL Systems, INC.",Industrial,Lafayette,"1235 Evaste Landry, lafayette, LA 70506, US",,Tier 3,Non-Active,Not Qualified,"Ivy Kimble (FTS), Ivy Kimble (TPS)",
CPS Energy,Power,San Antonio,"145 Navarro St, San Antonio, TX 78205, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Crestwood Oil,Chemical / Refining / Metals,Dothan,"517 Kraft Rd, Dothan, AL 36303, US",,Tier 3,Non-Active,Not Qualified,,
Cross Oil and Refinery Company,Chemical / Refining / Metals,Smackover,"484 East 6th St, Smackover, AR 71762, US",870-725-3611,Tier 3,Non-Active,Qualified,,
CrossTech Boiler,Industrial,Plano,"555 Republic Drive, Plano, TX 75074, US",(972) 801-9144,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Crosstex Energy,Chemical / Refining / Metals,Coyanosa,"Coyanosa, TX, US",915-343-2831,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Crosstex Energy,Chemical / Refining / Metals,Geismar,"10280 Highway 75 River Road, Geismar, LA 70734, US",,Tier 3,Non-Active,Qualified,"Mark Maulden (FTS), Mark Maulden (TPS)",
Crosstex Energy,Chemical / Refining / Metals,Houston,,800-877-3906,Tier 3,Non-Active,Qualified,,David Gould
Crosstex Energy,Chemical / Refining / Metals,Ozona,"1006 Sheffield Hwy, Ozona, TX 76943, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Crosstex Energy,Chemical / Refining / Metals,Patterson,"3609 Hwy 90 West, Patterson, LA 70392, US",,Tier 3,Non-Active,Qualified,John Shaw (FTS),
Crosstex Energy,Chemical / Refining / Metals,Plaqumine,"Plaqumine, LA, US",,Tier 3,Non-Active,Not Qualified,John Shaw (FTS),
CS Metals of Louisiana,Chemical / Refining / Metals,Convent,"7591 Hwy 3214, Convent, LA 70723, US",225-562-1200,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
CT,Chemical / Refining / Metals,Marion,"Hwy 45 South, Marion, AL 3656, US",334-683-6101-,Tier 3,Non-Active,Not Qualified,,
Curt Bean,Wood Products,Amity,"843 South Mountain, Amity, AR 71921, US",870-342-5275,Tier 3,Non-Active,Qualified,,
"Cytec Industries, Inc",Chemical / Refining / Metals,Mobile,"Cynamid Road, Mobile, AL 36601, US",251-457-6601,Tier 3,Non-Active,Not Qualified,,
D B Doran,Industrial,Belle Rose,"424 Hwy 1000, Belle Rose, LA 70341, US",,Tier 3,Non-Active,Qualified,"Ivy Kimble (FTS), Ivy Kimble (TPS)",
Dairy Fresh Corp,Food & Beverage,Prichard,"509 S. Craft Hwy., Prichard, AL 36610, US",,Tier 3,Non-Active,Not Qualified,,
Dak Americas,Chemical / Refining / Metals,Bay St Louis,"3303 Port And Harbor Drive, Bay St Louis, MS 39520, US",,Tier 2	(Targeted),Active,Not Qualified,Mark Maulden (FTS),
Dak Americas,Chemical / Refining / Metals,Leland,"3500 Daniels Road N.E, Leland, NC 28451, US",,Tier 3,Non-Active,Not Qualified,,
Dana Corporation,Industrial,Anniston,"3017 Red Morris Parkway, Anniston, AL 36207, US",,Tier 3,Non-Active,Not Qualified,,
Dana Corporation,Industrial,Montgomery,"300 Selma Highway, Montgomery, AL, US",,Tier 3,Non-Active,Not Qualified,,
Dansby Power Plant,Power,Bryan,"Mumford Rd., Bryan, TX 77806, US",409-361-3740,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DCP Midstream,Chemical / Refining / Metals,Minden,"323 Angi Road, Minden, LA 71055, US",,Tier 3,Non-Active,Qualified,David Formby (FTS),John Shaw
"Delek Refining, Ltd.",Chemical / Refining / Metals,Tyler,"425 McMurrey Drive, Tyler, TX 75702, US",,Tier 2	(Targeted),Non-Active,Qualified,"Rawland Allen (FTS), Nathan Gewin (PSS)",
Delicious Sips,Food & Beverage,New Orleans,"4283 Michoud Blvd., New Orleans, LA 70129, US",,Tier 1,Non-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",
Delta Fuel,Chemical / Refining / Metals,Ferriday,"Hwy 84 & 15, Ferriday, LA 71334, US",318-757-3975,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Delta Industrial Service & Supply,Industrial,Port Neches,"1126 Port Neches Ave, Port Neches, TX 77651, US",409-724-1055,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Delta Oil Mill,Chemical / Refining / Metals,Greenwoods,", US",,Tier 3,Non-Active,Not Qualified,,
Delta Terminal Services Inc,Chemical / Refining / Metals,Harvey,"3540 River Road, Harvey, LA 70058, US",504-340-4911,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",Randy  Sharpe
Deltak,Industrial,Plymouth,"13330 12th Ave North MN, Plymouth, MN 55441, US",763-544-3371,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Deltech Corp,Chemical / Refining / Metals,Baton Rouge,"11911 Scenic Hwy, Baton Rouge, LA 70807, US",,Tier 1	(Targeted),Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",
Deltic Timber,Wood Products,Ola,"Hwy 10 East, Ola, AR 72853, US",501-489-5223,Tier 3,Non-Active,Qualified,,
Deltic Timber,Wood Products,Waldo,"Hwy 82 W, Waldo, AR, US",870-693-5555,Tier 3,Non-Active,Qualified,,
DelTin,Wood Products,El Dorado,"757 Newell Road Hwy 335 S, El Dorado, AR 71730, US",870-309-3100,Tier 3,Non-Active,Qualified,"Rawland Allen (FTS), Rawland Allen (TPS)",
"Denka Performance Elastomer, LLC",Chemical / Refining / Metals,Laplace,"560 Hwy 44, Laplace, LA 70068, US",,Tier 3,Non-Active,Not Qualified,,
Dexco Polymers LP,Chemical / Refining / Metals,Plaquemine,"21255 Louisiana Highway 1, Plaquemine, LA 70765, US",,Tier 3,Non-Active,Not Qualified,,John Shaw
"Diamond Power International, Inc",Industrial,Lancaster,"2600 East Main Street OH, Lancaster, OH 43130, US",740-687-4122,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
"Diamond Power International, Inc",Industrial,Littleton,"CO, Littleton, CO 80162, US",720-981-5341,Tier 3,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Diamond-Koch,Chemical / Refining / Metals,Mont Belvieu,"819 Main St., Mont Belvieu, TX 77580-0569, US",281-963-3058,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
"Diversified Foods & Seasonings, LLC",Food & Beverage,Madisonville,"109 Hwy 1085, Madisonville, LA 70447, US",,Tier 3,Active,Not Qualified,,
Diversified Technologies,Industrial,Ridgeland,"Ridgeland, MS, US",,Tier 3,Non-Active,Not Qualified,,
Dixie Chemical,Chemical / Refining / Metals,Pasadena,"10701 Bay Area Blvd., Pasadena, TX 77507, US",,Tier 2	(Targeted),Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Domter Industries,Wood Products,Ashdown,"285 Hwy 71 South, Ashdown, AR 71822, US",870-898-2711,Tier 3,Non-Active,Qualified,,
Dow Chemical,Chemical / Refining / Metals,Laporte,"600 Battleground Road, Laporte, TX 77571, US",713-246-0369,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Dow Chemical,Chemical / Refining / Metals,Plaquemine,"Hwy 1 North, Plaquemine, LA 70764, US",,Tier 3,Non-Active,Qualified,"John Shaw (FTS), Ivy Kimble (TPS)",John Shaw
Dow Chemical,Chemical / Refining / Metals,Port Lavaca,"Hwy 185 S. of Jct. 35, Port Lavaca, TX 77979, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Dow Chemical,Chemical / Refining / Metals,Taft (St. Charles Oper),"Hwy 18 & Hwy 3142 DOW St. Charles Operation, Taft, LA 70057, US",,Tier 3,Non-Active,Qualified,"John Shaw (FTS), David Formby (TPS)",John Shaw
Dow Chemical,Chemical / Refining / Metals,Texas City,"3301 5th Avenue S, Texas City, TX 77590, US",409/945-7411,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Dow Chemical,Commercial,Houston,"400 W. Sam Houston Pkwy S., Houston, TX 77042, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DPI,Industrial,Alpena,"416 Ford Avenue, Alpena, MI 49707, US",989-354-2121,Tier 2	(Targeted),Non-Active,Not Qualified,,
DPR Construction,Chemical / Refining / Metals,Houston,"3200 Southwest Freeway Suite 1550, Houston, TX 77027, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Ducan Technologies,Industrial,Kenner,"2323 Bainbridge Ave., Kenner, LA 70062, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Duke Entergy,Chemical / Refining / Metals,Coden,"4300-B Hwy 188, Coden, AL 36523, US",251-873-4997,Tier 3,Non-Active,Not Qualified,Rawland Allen (FTS),
Duke Entergy,Chemical / Refining / Metals,Corpus Christi,"Corpus Christi, TX, US",361-584-3521,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Duke Entergy,Chemical / Refining / Metals,Wilcox,"Wilcox, TX, US",361-798-2791,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Duke Entergy,Commercial,Houston,"5718 Westheimer Suite 2000, Houston, TX 77057, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,Beaumont,"5470 Hwy 347, Beaumont, TX 77704, US",409-722-3451,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,Burnside,"3460 Hwy 44, Burnside, LA 70734, US",,Tier 3,Non-Active,Qualified,"John Shaw (FTS), David Formby (TPS)",John Shaw
DuPont,Chemical / Refining / Metals,Corpus Christi,"Corpus Christi, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,LaPlace,"586 Hwy 44, LaPlace, LA 70068, US",,Tier 1,Active,Qualified,"John Shaw (FTS), Barry Landry  (TPS)",John Shaw
DuPont,Chemical / Refining / Metals,LaPorte,"12501 Strang Road, LaPorte, TX 77571, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,Orange,"FM 1006, Orange, TX 77631, US",409-883-8411,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,Pasadena,"9701 Bayport Road, Pasadena, TX 77507, US",281-474-7575,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
DuPont,Chemical / Refining / Metals,Victoria,"Victoria, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Dura,Chemical / Refining / Metals,Enterprise,"201 N. Industrial Park, Enterprise, AL 36330, US",334-347-2076,Tier 3,Non-Active,Not Qualified,,
Dynamic Fuels,Chemical / Refining / Metals,Geismar,"36187 Hwy 30, Geismar, LA 70734, US",,Tier 3,Non-Active,Not Qualified,"David Formby (FTS), Ivy Kimble (TPS)",
E & E Industrial,Industrial,Gonzales,"12610 N. Airline Hwy., Gonzales, LA 70737, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
E I Dupont,Chemical / Refining / Metals,Axis,"Hwy 43 North P O Box 525, Axis, AL 36505, US",,Tier 3,Non-Active,Qualified,Keith  Harrison (TPS),Bridget LaBorde
Eagel Rock Energy,Chemical / Refining / Metals,Flomaton,"4704 Wolf Log Road, Flomaton, AL 36441, US",,Tier 3,Non-Active,Not Qualified,,
Eagle Asphalt Co,Chemical / Refining / Metals,Mobile,"Hwy 90-98, Mobile, AL 36693, US",,Tier 3,Non-Active,Not Qualified,,
Eagle Chemical Co,Chemical / Refining / Metals,Mobile,"1500 Telegraph Road, Mobile, AL 36610, US",,Tier 3,Non-Active,Not Qualified,,
Eastman,Chemical / Refining / Metals,Longview,"Hwy 259, Longview, TX, US",903-237-5000,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Eastman,Chemical / Refining / Metals,St. Gabriel,"3790 Hwy 30, St. Gabriel, LA 70776, US",,Tier 1	(Targeted),Non-Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",John Shaw
Eastman Chemicals,Chemical / Refining / Metals,Texas City,"201 Bay St. South, Texas City, TX 77592, US",,Tier 2	(Targeted),Non-Active,Qualified,"Mark Maulden (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Eaton Aerospace,Industrial,Jackson,"Jackson, MS, US",,Tier 3,Non-Active,Not Qualified,,
Eco Services Operations LLC (Rhodia),Chemical / Refining / Metals,Baton Rouge,"1301 Airline Hwy, Baton Rouge, LA 70805, US",,Tier 2	(Targeted),Non-Active,Qualified,"John Shaw (FTS), Rawland Allen (TPS)",John Shaw
Eco Services Operations LLC (Rhodia),Chemical / Refining / Metals,Baytown,"3439 Park Street, Baytown, TX 77522, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Eco Services Operations LLC (Rhodia),Chemical / Refining / Metals,Geismar,"10810 Hwy 75, Geismar, LA 70734, US",225-673-5600,Tier 3,Non-Active,Qualified,"John Shaw (FTS), Keith  Harrison (TPS)",John Shaw
Eco Services Operations LLC (Rhodia),Chemical / Refining / Metals,Houston,"8615 Manchester, Houston, TX 77012, US",713-928-3411,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Eco Services Operations LLC (Rhodia),Chemical / Refining / Metals,Martinez,"100 Mococo Road, Martinez, CA 94553-1340, US",925-228-5530,Tier 3,Non-Active,Not Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
EFSI,Power,Houston,"17223 Mercury Drive, Houston, TX 77058, US",281-286-8500,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Eggelhof Incorporated,Industrial,Gonzales,"2029 Phillipe Avenue, Gonzales, LA 70737, US",,Tier 3,Non-Active,Not Qualified,"David Formby (FTS), David Formby (TPS)",
"Eglebrook, Inc",Chemical / Refining / Metals,Pearlington,"Pearlington, MS, US",228-533-7371,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
El Dorado Chemical,Chemical / Refining / Metals,El Dorado,"4500 Northwest Ave, El Dorado, AR 71731, US",,Tier 3,Non-Active,Not Qualified,,
"El Dorado Nitrogen, L.P.",Chemical / Refining / Metals,Baytown,"8490 West Bay Road, Baytwon, TX 77522-2469, US",281-383-1807,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Elementius Chromium,Chemical / Refining / Metals,Corpus Christi,"Corpus Christi, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Elevance Renewable Sciences,Chemical / Refining / Metals,Natchez,"151 L.E. Barry, Natchez, MS 39120, US",,Tier 3,Non-Active,Not Qualified,,
Elkhorn Construction C/O Williams,Power,Lysite,"165 Lost Cabin Road, Lysite, WY 82642, US",307-876-2343,Tier 3,Non-Active,Not Qualified,"Barry Carpenter (FTS), Barry Carpenter (TPS)",
Ellis Metals Inc,Chemical / Refining / Metals,Brundidge,"Hwy 231 South, Brundidge, AL 36010, US",334-735-2317,Tier 3,Non-Active,Not Qualified,,
Enbridge,Chemical / Refining / Metals,Houston,"1100 Louisiana St. Ste 3300, Houston, TX 77002, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Energy Transfer,Chemical / Refining / Metals,Lake Charles LNG,"8100 Big Lake Road, Lake Charles, LA 70605, US",,Tier 1	(Targeted),Semi-Active,Not Qualified,"Barry Landry  (TPS), John Shaw (FTS)",John Shaw
Energy Transfer,Chemical / Refining / Metals,Louis Dreyfus Geismar,"10334 Highway 75, Geismar, LA 70734, US",,Tier 1	(Targeted),Non-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",John Shaw
Energy Transfer,Chemical / Refining / Metals,Trunkline Gas Longville,"11383 Hwy 171, Longville, LA 70652, US",,Tier 3,Non-Active,Not Qualified,"David Formby (FTS), Barry Landry  (TPS)",
Enerquip Thermal Solutions,Industrial,Beggs,"1585 Hwy 16, Beggs, OK 74421, US",,Tier 3,Non-Active,Not Qualified,,
Engelhard Corp,Chemical / Refining / Metals,Jackson,"Jackson, MS, US",601-948-3966,Tier 3,Non-Active,Not Qualified,,
